,Player,Game,Games Started,Minutes Played,Field Goals,Field Goals Attempted,Three Point Field Goals,Three Pointers Attempted,Two Point Field Goals,Two Pointers Attempted,Free Throws Made,Free Throws Attempted,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points
1416,Shamorie Ponds,4,0,11,3,5,1,2,2,3,2,2,0,1,1,2,0,1,0,2,9
1417,Shane Battier,441,266,11671,1006,2394,576,1522,430,872,275,390,381,1136,1517,751,346,365,314,833,2863
1418,Shane Edwards,2,0,12,1,3,0,0,1,3,0,0,1,1,2,0,0,0,1,1,2
1419,Shane Larkin,256,41,4880,545,1290,117,348,428,942,192,247,83,407,490,737,243,24,301,375,1399
1420,Shannon Brown,345,52,6661,1072,2555,246,741,826,1814,402,492,161,542,703,402,257,77,320,467,2792
1421,Shaq Buchanan,2,0,10,1,4,0,2,1,2,0,0,1,1,2,2,1,0,2,1,2
1422,Shaquille Harrison,214,23,3107,389,913,55,201,334,712,196,270,80,411,491,326,195,69,131,302,1029
1423,Shaquille O'Neal*,90,89,1992,396,664,0,1,396,663,185,357,141,392,533,106,31,104,161,289,977
1424,Sharife Cooper,13,0,39,3,14,1,6,2,8,0,0,0,5,5,5,0,0,5,1,7
1425,Shaun Livingston,778,164,15258,1942,3893,7,57,1935,3836,859,1043,416,1325,1741,2110,507,279,865,1297,4750
1426,Shavlik Randolph,84,0,651,65,168,0,10,65,158,33,66,81,118,199,15,23,16,27,103,163
1427,Shawn Long,18,0,234,61,109,7,19,54,90,19,35,41,44,85,13,9,9,13,49,148
1428,Shawn Marion,418,332,12077,1932,3923,121,401,1811,3522,461,596,813,1904,2717,687,396,258,558,666,4446
1429,Shawne Williams,251,74,4762,521,1324,276,784,245,540,133,160,177,629,806,181,118,134,140,571,1451
1430,Shayne Whittington,27,0,149,24,53,1,8,23,45,19,25,15,26,41,9,6,3,10,25,68
1431,Shelden Williams,230,111,3695,365,762,0,1,365,761,267,352,374,668,1042,120,106,112,182,486,997
1432,Sheldon Mac,30,3,287,30,75,7,30,23,45,23,27,4,30,34,15,8,2,5,17,90
1433,Shelvin Mack,596,89,11112,1568,3696,405,1220,1163,2476,477,660,152,1014,1166,1859,396,31,755,763,4018
1434,Sherron Collins,20,0,66,7,25,2,10,5,15,1,1,0,5,5,8,2,0,4,2,17
1435,Sim Bhullar,3,0,3,1,2,0,0,1,2,0,0,0,1,1,1,0,1,0,0,2
1436,Simone Fontecchio,52,6,766,115,312,63,191,52,121,35,44,31,55,86,42,15,8,39,62,328
1437,Sindarius Thornwell,181,20,1938,153,385,42,126,111,259,94,142,44,180,224,132,89,37,89,198,442
1438,Skal Labissière,170,43,2771,455,921,36,98,419,823,190,259,233,472,705,163,58,105,162,343,1136
1439,Skylar Mays,67,11,678,110,230,34,91,76,139,42,47,17,62,79,97,27,3,29,35,296
1440,Solomon Alabi,26,0,181,16,51,0,0,16,51,7,10,22,39,61,5,4,11,8,16,39
1441,Solomon Hill,507,193,10740,953,2453,425,1264,528,1189,445,562,318,1246,1564,766,350,111,428,850,2776
1442,Solomon Jones,146,5,1898,181,437,0,4,181,433,132,183,169,223,392,82,46,84,116,320,494
1443,Sonny Weems,214,47,3779,548,1191,49,158,499,1033,132,188,95,356,451,303,93,29,233,307,1277
1444,Spencer Dinwiddie,612,393,17636,2856,6798,1027,3026,1829,3772,1960,2466,279,1707,1986,3309,438,165,1063,1423,8699
1445,Spencer Hawes,670,388,15618,2469,5405,468,1279,2001,4126,706,947,944,3021,3965,1399,265,643,977,1646,6112
1446,Stanley Johnson,515,111,10087,1199,3070,402,1329,797,1741,460,612,287,1334,1621,767,443,120,561,985,3260
1447,Stanley Umude,1,0,2,0,1,0,1,0,0,2,2,0,0,0,0,1,1,0,0,2
1448,Stanton Kidd,4,0,15,0,3,0,1,0,2,0,0,0,3,3,1,0,0,2,3,0
1449,Stephen Curry,882,876,30302,7434,15653,3390,7929,4044,7724,3454,3801,592,3587,4179,5740,1419,207,2777,2098,21712
1450,Stephen Graham,129,36,1763,200,440,21,71,179,369,73,103,41,217,258,63,34,11,74,200,494
1451,Stephen Jackson,387,263,12269,2082,5101,524,1669,1558,3432,1164,1475,277,1320,1597,1162,495,155,1016,853,5852
1452,Stephen Zimmerman,19,0,108,10,31,0,0,10,31,3,5,11,24,35,4,2,5,3,17,23
1453,Sterling Brown,268,29,4458,531,1267,248,683,283,584,121,152,154,737,891,268,140,47,177,379,1431
1454,Steve Blake,586,152,13822,1240,3161,717,1900,523,1261,257,335,142,1149,1291,2380,402,49,852,861,3454
1455,Steve Nash*,283,278,9058,1465,2920,325,791,1140,2129,694,756,130,755,885,2830,165,31,946,336,3949
1456,Steve Novak,401,2,4497,573,1310,461,1050,112,260,83,96,47,413,460,94,65,37,60,302,1690
1457,Steven Adams,706,641,18944,2713,4619,1,15,2712,4604,1091,2036,2599,3189,5788,1079,624,675,1029,1748,6518
